| No  | Kalimat Asli                                                                                                                                                               | Pertanyaan                                        | Pilihan Jawaban                                                   | Jawaban | Terjemahan Indonesia                                                                                                                                                                                          | Pertanyaan                                       | Pilihan Jawaban                                                   | Jawaban |
| 216 | Beth didn't get angry with Sally, who had cut her off, because she stopped and apologies.                                                                                  | Snippet: she stopped                              | A. Beth; B. Sally                                                 | B       | Beth tidak marah pada Sally yang memotongnya, karena dia berhenti dan meminta maaf.                                                                                                                           | dia berhenti                                     | A. Beth; B. Sally                                                 | B       |
| 217 | Jim signaled the barman and gestured toward his empty glass                                                                                                                | Snippet: his empty glass                          | A. Jim; B. The barman                                             | A       | Jim memberi isyarat kepada bartender dan menunjuk ke arah gelasnya yang kosong                                                                                                                                | gelasnya yang kosong                             | A. Jim; B. The barman                                             | A       |
| 218 | Jim signaled the barman and gestured toward his bathroom key                                                                                                               | Snippet: his bathroom key                         | A. Jim; B. The barman                                             | B       | Jim memberi isyarat kepada bartender dan menunjuk ke arah kunci kamar mandinya                                                                                                                                | kunci kamar mandinya                             | A. Jim; B. The barman                                             | B       |
| 219 | Dan took the rear seat while Bill claimed the front because his "Dibs!" was slow.                                                                                          | Snippet: his "Dibs!"                              | A. Dan; B. Bill                                                   | A       | Dan mengambil kursi belakang sementara Bill mengklaim kursi depan karena "Dibs!" nya lebih cepat.                                                                                                             | "Dibs!" nya                                      | A. Dan; B. Bill                                                   | A       |
| 220 | Dan took the rear seat while Bill claimed the front because his "Dibs!" was quicker.                                                                                       | Snippet: his "Dibs!"                              | A. Dan; B. Bill                                                   | B       | Dan mengambil kursi belakang sementara Bill mengklaim kursi depan karena "Dibs!" nya lebih cepat.                                                                                                             | "Dibs!" nya                                      | A. Dan; B. Bill                                                   | B       |
| 221 | Tom said "Check" to Ralph as he moved his bishop.                                                                                                                          | Snippet: his bishop                               | A. Tom; B. Ralph                                                  | A       | Tom berkata "Check" kepada Ralph saat dia menggerakan peluncurnya.                                                                                                                                            | peluncurnya                                      | A. Tom; B. Ralph                                                  | A       |
| 222 | Tom said "Check" to Ralph as he took his bishop.                                                                                                                           | Snippet: his bishop                               | A. Tom; B. Ralph                                                  | B       | Tom berkata "Check" kepada Ralph saat dia memakan peluncurnya.                                                                                                                                                | peluncurnya                                      | A. Tom; B. Ralph                                                  | B       |
| 223 | As Andrea in the crop duster passed over Susan, she could see the landing strip.                                                                                           | Snippet: she could see                            | A. Andrea; B. Susan                                               | A       | Saat Andrea yang mengenakan kemoceng melewati Susan, dia dapat melihat landasan pendaratan.                                                                                                                   | dia dapat melihat                                | A. Andrea; B. Susan                                               | A       |
| 224 | As Andrea in the crop duster passed over Susan, she could see the landing gear.                                                                                            | Snippet: she could see                            | A. Andrea; B. Susan                                               | B       | Saat Andrea yang mengenakan kemoceng melewati Susan, dia dapat melihat roda pendaratan.                                                                                                                       | dia dapat melihat                                | A. Andrea; B. Susan                                               | B       |
| 225 | Tom gave Ralph a lift to school so he wouldn't have to drive alone.                                                                                                        | Snippet: he wouldn't have to drive alone.         | A. Tom; B. Ralph                                                  | A       | Tom memberi Ralph tumpangan ke sekolah sehingga dia tidak perlu sendirian.                                                                                                                                    | dia tidak perlu sendirian                        | A. Tom; B. Ralph                                                  | A       |
| 226 | Tom gave Ralph a lift to school so he wouldn't have to walk.                                                                                                               | Snippet: he wouldn't have to walk.                | A. Tom; B. Ralph                                                  | B       | Tom memberi Ralph tumpangan ke sekolah sehingga dia tidak perlu berjalan kaki.                                                                                                                                | dia tidak perlu berjalan kaki                    | A. Tom; B. Ralph                                                  | B       |
| 227 | Bill passed the half-empty plate to John because he was full.                                                                                                              | Snippet: he was full.                             | A. Bill; B. John                                                  | A       | Bill memberikan piring yang setengah kosong kepada John karena dia kenyang.                                                                                                                                   | dia kenyang                                      | A. Bill; B. John                                                  | A       |
| 228 | Bill passed the half-empty plate to John because he was hungry.                                                                                                            | Snippet: he was hungry.                           | A. Bill; B. John                                                  | B       | Bill memberikan piring yang setengah kosong kepada John karena dia lapar.                                                                                                                                     | dia lapar                                        | A. Bill; B. John                                                  | B       |
| 229 | Bill passed the gameboy to John because his turn was over.                                                                                                                 | Snippet: his turn                                 | A. Bill; B. John                                                  | A       | Bill memberikan gameboy itu kepada John karena gilirannya sudah berakhir.                                                                                                                                     | gilirannya                                       | A. Bill; B. John                                                  | A       |
| 230 | Bill passed the gameboy to John because his turn was next.                                                                                                                 | Snippet: his turn                                 | A. Bill; B. John                                                  | B       | Bill memberikan gameboy itu kepada John karena gilirannya berikutnya.                                                                                                                                         | gilirannya                                       | A. Bill; B. John                                                  | B       |
| 231 | The man lifted the boy onto his shoulders.                                                                                                                                 | Snippet: his shoulders                            | A. The man; B. The boy                                            | A       | Pria itu mengangkat anak laki-laki itu ke bahunya.                                                                                                                                                            | bahunya                                          | A. Pria; B. Anak laki laki                                        | A       |
| 232 | The man lifted the boy onto his bunk bed.                                                                                                                                  | Snippet: his bunk bed                             | A. The man; B. The boy                                            | B       | Pria itu mengangkat anak laki-laki itu ke tempat tidur susunnya.                                                                                                                                              | tempat tidur susunnya                            | A. Pria; B. Anak laki laki                                        | B       |
| 233 | Stretching her back, the woman smiled at the girl.                                                                                                                         | Snippet: her back                                 | A.The woman; B. The girl                                          | A       | Menggaruk punggungnya, wanita itu tersenyum pada gadis itu.                                                                                                                                                   | punggungnya                                      | A. Wanita; B. Anak perempuan                                      | A       |
| 234 | Patting her back, the woman smiled at the girl.                                                                                                                            | Snippet: her back                                 | A.The woman; B. The girl                                          | B       | Menepuk punggungnya, wanita itu tersenyum pada gadis itu.                                                                                                                                                     | punggungnya                                      | A. Wanita; B. Anak perempuan                                      | B       |
| 235 | Billy cried because Toby wouldn't accept his toy.                                                                                                                          | Snippet: his toy                                  | A. Billy; B. Toby                                                 | A       | Billy menangis karena Toby tidak mau menerima mainannya.                                                                                                                                                      | mainannya                                        | A. Billy; B. Toby                                                 | A       |
| 236 | Billy cried because Toby wouldn't share his toy.                                                                                                                           | Snippet: his toy                                  | A. Billy; B. Toby                                                 | B       | Billy menangis karena Toby tidak mau berbagi mainannya.                                                                                                                                                       | mainannya                                        | A. Billy; B. Toby                                                 | B       |
| 237 | Lily spoke to Donna, breaking her silence.                                                                                                                                 | Snippet: her silence.                             | A. Lily; B. Donna                                                 | A       | Lily berbicara kepada Donna, memecah kesunyiannya.                                                                                                                                                            | kesunyiannya                                     | A. Lily; B. Donna                                                 | A       |
| 238 | Lily spoke to Donna, breaking her concetration.                                                                                                                            | Snippet: her concetration.                        | A. Lily; B. Donna                                                 | B       | Lily berbicara kepada Donna, memecah konsentrasinya.                                                                                                                                                          | konsentrasinya                                   | A. Lily; B. Donna                                                 | B       |
| 239 | When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.                                                                                    | Snippet: gave him                                 | A. Tommy; B. Timmy                                                | A       | Saat Tommy menjatuhkan es krimnya, Timmy terkikik, sehingga ayah memberinya tatapan simpati.                                                                                                                  | memberinya                                       | A. Tommy; B. Timmy                                                | A       |
| 240 | When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.                                                                                          | Snippet: gave him                                 | A. Tommy; B. Timmy                                                | B       | Saat Tommy menjatuhkan es krimnya, Timmy terkikik, sehingga ayah memberinya tatapan tajam.                                                                                                                    | memberinya                                       | A. Tommy; B. Timmy                                                | B       |
| 241 | As Ollie carried Tommy up the long winding steps, his legs ached.                                                                                                          | Snippet: his legs ached.                          | A. Ollie; B. Tommy                                                | A       | Saat Ollie menggendong Tommy menaiki tangga panjang yang berkelok-kelok, kakinya sakit.                                                                                                                       | kakinya sakit                                    | A. Ollie; B. Tommy                                                | A       |
| 242 | As Ollie carried Tommy up the long winding steps, his legs dangled.                                                                                                        | Snippet: his legs dangled.                        | A. Ollie; B. Tommy                                                | B       | Saat Ollie menggendong Tommy menaiki tangga panjang yang berkelok-kelok, kakinya menjuntai.                                                                                                                   | kakinya menjuntai                                | A. Ollie; B. Tommy                                                | B       |
| 243 | The father carried the sleeping boy in his arms                                                                                                                            | Snippet: his arms                                 | A. The father; B. The boy                                         | A       | Sang ayah menggendong anak laki-laki yang sedang tidur itu di lengannya.                                                                                                                                      | lengannya                                        | A. Ayah; B. Anak                                                  | A       |
| 244 | The father carried the sleeping boy in his bassinet.                                                                                                                       | Snippet: his bassinet                             | A. The father; B. The boy                                         | B       | Sang ayah menggendong anak laki-laki yang sedang tidur itu di keranjangnya.                                                                                                                                   | keranjangnya                                     | A. Ayah; B. Anak                                                  | B       |
| 245 | The woman held the girl against her chest                                                                                                                                  | Snippet: her chest.                               | A.The woman; B. The girl                                          | A       | Wanita itu memeluk gadis itu di dadanya                                                                                                                                                                       | dadanya                                          | A. Wanita; B. Anak perempuan                                      | A       |
| 246 | The woman held the girl against her will                                                                                                                                   | Snippet: her will.                                | A.The woman; B. The girl                                          | B       | Wanita itu memeluk gadis itu di luar keinginannya                                                                                                                                                             | keinginannya                                     | A. Wanita; B. Anak perempuan                                      | B       |
| 247 | Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.                                                                     | Snippet: They were furious                        | A. Pam's parent; B. Pam and Paul                                  | A       | Orang tua Pam pulang dan menemukannya sedang berhubungan seks dengan pacarnya, Paul. Mereka merasa marah karenanya.                                                                                           | Mereka merasa marah                              | A. Orangtua Pam; B. Pam dan Paul                                  | A       |
| 248 | Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.                                                                 | Snippet: They were embarrassed                    | A. Pam's parent; B. Pam and Paul                                  | B       | Orang tua Pam pulang dan menemukannya sedang berhubungan seks dengan pacarnya, Paul. Mereka merasa malu karenanya.                                                                                            | Mereka merasa malu                               | A. Orangtua Pam; B. Pam dan Paul                                  | B       |
| 249 | Dr. Adams informed Kate that she had retired and presented several options for future treatment.                                                                           | Snippet: she had retired                          | A. Dr. Adams; B. Kate                                             | A       | Dr Adams memberi tahu Kate bahwa dia telah pensiun dan memberikan beberapa pilihan untuk pengobatan di masa depan.                                                                                            | dia telah pensiun                                | A. Dr. Adams; B. Kate                                             | A       |
| 250 | Dr. Adams informed Kate that she had cancer and presented several options for future treatment.                                                                            | Snippet: she had cancer                           | A. Dr. Adams; B. Kate                                             | B       | Dr Adams memberi tahu Kate bahwa dia menderita kanker dan memberikan beberapa pilihan untuk pengobatan di masa depan.                                                                                         | dia menderita kanker                             | A. Dr. Adams; B. Kate                                             | B       |
| 251 | Dan had to stop Bill from toying with the injured bird. He is very compassionate.                                                                                          | Snippet: He is very compassionate.                | A. Dan; B. Bill                                                   | A       | Dan harus menghentikan Bill untuk mempermainkan burung yang terluka itu. Dia sangat penyayang.                                                                                                                | dia sangat penyayang                             | A. Dan; B. Bill                                                   | A       |
| 252 | Dan had to stop Bill from toying with the injured bird. He is very cruel.                                                                                                  | Snippet: He is very cruel.                        | A. Dan; B. Bill                                                   | B       | Dan harus menghentikan Bill untuk mempermainkan burung yang terluka itu. Dia sangat kejam.                                                                                                                    | dia sangat kejam                                 | A. Dan; B. Bill                                                   | B       |
| 253 | George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.                                                            | Snippet: he was particularly eager                | A. George; B. Eric                                                | A       | George mendapat tiket gratis untuk pertunjukan itu, tetapi dia memberikannya kepada Eric, meskipun dia ingin melihatnya.                                                                                      | dia ingin melihatnya.                            | A. George; B. Eric                                                | A       |
| 254 | George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.                                                                | Snippet: he was particularly eager                | A. George; B. Eric                                                | B       | George mendapat tiket gratis untuk pertunjukan itu, tetapi dia memberikannya kepada Eric, karena dia ingin melihatnya.                                                                                        | dia ingin melihatnya.                            | A. George; B. Eric                                                | B       |
| 255 | George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.                                                            | Snippet: he was not particularly eager            | A. George; B. Eric                                                | A       | George mendapat tiket gratis untuk pertunjukan itu, tetapi dia memberikannya kepada Eric, karena dia tidak terlalu ingin melihatnya.                                                                          | dia tidak terlalu ingin melihatnya.              | A. George; B. Eric                                                | A       |
| 256 | Jane gave Joan candy because she wasn't hungry.                                                                                                                            | Snippet: she wasn't hungry.                       | A. Jane; B. Joan                                                  | A       | Jane memberi Joan permen karena dia tidak lapar.                                                                                                                                                              | dia tidak lapar                                  | A. Jane; B. Joan                                                  | A       |
| 257 | Jane gave Joan candy because she was hungry.                                                                                                                               | Snippet: she was hungry.                          | A. Jane; B. Joan                                                  | B       | Jane memberi Joan permen karena dia lapar.                                                                                                                                                                    | dia lapar                                        | A. Jane; B. Joan                                                  | B       |
| 258 | I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.                                                 | Snippet: they came out                            | A. Lemons; B. Lemon trees                                         | A       | Saya mencoba melukis gambar sebuah kebun buah-buahan, dengan lemon di pohon lemonnya, namun hasilnya lebih mirip bola lampu.                                                                                  | hasilnya                                         | A. Lemon; B. Pohon lemon                                          | A       |
| 259 | I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.                                             | Snippet: they came out                            | A. Lemons; B. Lemon trees                                         | B       | Saya mencoba melukis gambar sebuah kebun buah-buahan, dengan lemon di pohon lemonnya, namun hasilnya lebih mirip tiang telepon.                                                                               | hasilnya                                         | A. Lemon; B. Pohon lemon                                          | B       |
| 260 | James asked Robert for a favor but he was refused.                                                                                                                         | Snippet: he was refused.                          | A. James; B. Robert                                               | A       | James meminta bantuan Robert tetapi dia ditolak.                                                                                                                                                              | dia ditolak                                      | A. James; B. Robert                                               | A       |
| 261 | James asked Robert for a favor but he refused.                                                                                                                             | Snippet: he refused.                              | A. James; B. Robert                                               | B       | James meminta bantuan Robert tetapi dia menolak.                                                                                                                                                              | dia metolak                                      | A. James; B. Robert                                               | B       |
| 262 | Kirilov ceded the presidency to Shatov because he was less popular.                                                                                                        | Snippet: he was less popular.                     | A. Kirilov; B. Shatov                                             | A       | Kirilov menyerahkan jabatan presiden kepada Shatov karena dia kurang populer.                                                                                                                                 | dia kurang populer                               | A. Kirilov; B. Shatov                                             | A       |
| 263 | Kirilov ceded the presidency to Shatov because he was more popular.                                                                                                        | Snippet: he was more popular.                     | A. Kirilov; B. Shatov                                             | B       | Kirilov menyerahkan jabatan presiden kepada Shatov karena dia lebih populer.                                                                                                                                  | dia lebih populer                                | A. Kirilov; B. Shatov                                             | B       |
| 264 | Emma did not pass the ball to Janie although she saw that she was open.                                                                                                    | Snippet: she saw                                  | A. Emma; B. Janie                                                 | A       | Emma tidak mengoper bola kepada Janie meskipun dia melihat dia tidak dijaga.                                                                                                                                  | dia melihat                                      | A. Emma; B. Janie                                                 | A       |
| 265 | Emma did not pass the ball to Janie although she was open.                                                                                                                 | Snippet: she was open                             | A. Emma; B. Janie                                                 | B       | Emma tidak mengoper bola kepada Janie meski ia tidak dijaga.                                                                                                                                                  | ia tidak dijaga                                  | A. Emma; B. Janie                                                 | B       |
| 266 | I put the butterfly wing on the table and it broke.                                                                                                                        | Snippet: it broke.                                | A. The butterfly wing; B. The table                               | A       | Saya meletakkan sayap kupu-kupu di atas meja dan itu patah.                                                                                                                                                   | itu patah                                        | A. Sayap kupu-kupu; B. Meja                                       | A       |
| 267 | I put the heavy book on the table and it broke.                                                                                                                            | Snippet: it broke.                                | A. The butterfly wing; B. The table                               | B       | Saya meletakkan buku berat itu di atas meja dan itu pecah.                                                                                                                                                    | itu pecah                                        | A. Sayap kupu-kupu; B. Meja                                       | B       |
| 268 | Madonna fired her trainer because she couldn't stand her boyfriend.                                                                                                        | Snippet: she couldn't stand                       | A. Madonna; B. The trainer                                        | A       | Madonna memecat pelatihnya karena dia tidak tahan dengan pacarnya.                                                                                                                                            | dia tidak tahan                                  | A. Madonna; B. Pelatih                                            | A       |
| 269 | Madonna fired her trainer because she slept with her boyfriend.                                                                                                            | Snippet: she slept                                | A. Madonna; B. The trainer                                        | B       | Madonna memecat pelatihnya karena dia tidur dengan pacarnya.                                                                                                                                                  | dia tidur                                        | A. Madonna; B. Pelatih                                            | B       |
| 270 | Madonna fired her trainer because she slept with her boyfriend.                                                                                                            | Snippet: her boyfriend                            | A. Madonna; B. The trainer                                        | A       | Madonna memecat pelatihnya karena dia tidur dengan pacarnya.                                                                                                                                                  | pacarnya                                         | A. Madonna; B. Pelatih                                            | A       |
| 271 | Madonna fired her trainer because she couldn't stand her boyfriend.                                                                                                        | Snippet: her boyfriend                            | A. Madonna; B. The trainer                                        | B       | Madonna memecat pelatihnya karena dia tidak tahan dengan pacarnya.                                                                                                                                            | pacarnya                                         | A. Madonna; B. Pelatih                                            | B       |
| 272 | Carol believed that Rebecca suspected that she had stolen the watch.                                                                                                       | Snippet: she had stolen the watch.                | A. Carol; B. Rebecca                                              | A       | Carol yakin Rebecca curiga dialah yang mencuri jam tangan itu.                                                                                                                                                | dialah yang mencuri jam tangan itu               | A. Carol; B. Rebecca                                              | A       |
| 273 | Carol believed that Rebecca regretted that she had stolen the watch.                                                                                                       | Snippet: she had stolen the watch.                | A. Carol; B. Rebecca                                              | B       | Carol yakin Rebecca bahwa dia menyesal telah mencuri jam tangan itu.                                                                                                                                          | dia menyesal telah mencuri jam tangan it         | A. Carol; B. Rebecca                                              | B       |
| 274 | This book introduced Shakespeare to Ovid; it was a major influence on his writing.                                                                                         | Snippet: his writing.                             | A. Shakespeare; B. Ovid                                           | A       | Buku ini memperkenalkan Shakespeare kepada Ovid; itu pengaruh besar pada tulisannya.                                                                                                                          | tulisannya                                       | A. Shakespeare; B. Ovid                                           | A       |
| 275 | This book introduced Shakespeare to Goethe; it was a major influence on his writing.                                                                                       | Snippet: his writing.                             | A. Shakespeare; B. Goethe                                         | B       | Buku ini memperkenalkan Shakespeare kepada Goethe; itu pengaruh besar pada tulisannya.                                                                                                                        | tulisannya                                       | A. Shakespeare; B. Goethe                                         | B       |
| 276 | This book introduced Shakespeare to Ovid; it was a fine selection of his writing.                                                                                          | Snippet: his writing.                             | A. Shakespeare; B. Ovid                                           | A       | Buku ini memperkenalkan Shakespeare kepada Ovid; itu adalah pilihan tulisannya yang bagus.                                                                                                                    | tulisannya                                       | A. Shakespeare; B. Ovid                                           | A       |
| 277 | This book introduced Shakespeare to Goethe; it was a fine selection of his writing.                                                                                        | Snippet: his writing.                             | A. Shakespeare; B. Goethe                                         | B       | Buku ini memperkenalkan Shakespeare kepada Goethe; itu adalah pilihan tulisannya yang bagus.                                                                                                                  | tulisannya                                       | A. Shakespeare; B. Goethe                                         | B       |
| 278 | Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.                                                                  | Snippet: she always has good luck.                | A. Alice; B. Jade                                                 | A       | Alice mencari temannya Jade di tengah kerumunan. Karena dia selalu mendapat keberuntungan, Alice segera melihatnya.                                                                                           | dia selalu mendapat keberuntungan                | A. Alice; B. Jade                                                 | A       |
| 279 | Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.                                                             | Snippet: she always wears a red turban            | A. Alice; B. Jade                                                 | B       | Alice mencari temannya Jade di tengah kerumunan. Karena dia selalu memakai sorban merah, Alice segera melihatnya.                                                                                             | dia selalu memakai sorban merah                  | A. Alice; B. Jade                                                 | B       |
| 280 | During a game of tag, Ethan chased Luke because he was "it".                                                                                                               | Snippet: he was "it".                             | A. Ethan; B. Luke                                                 | A       | Selama permainan tagar, Ethan mengejar Luke karena dia yang "jaga".                                                                                                                                           | dia yang "jaga"                                  | A. Ethan; B. Luke                                                 | A       |
| 281 | During a game of tag, Ethan ran from Luke because he was "it".                                                                                                             | Snippet: he was "it".                             | A. Ethan; B. Luke                                                 | B       | Selama permainan tagar, Ethan lari dari Luke karena dia yang "jaga".                                                                                                                                          | dia yang "jaga"                                  | A. Ethan; B. Luke                                                 | B       |
| 282 | At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.                                                 | Snippet: they were so stupid.                     | A. The judges; B. The chatbots                                    | A       | Pada kompetisi Loebner para juri tidak bisa menentukan responden mana yang menjadi chatbot karena mereka sudah sangat awam.                                                                                   | mereka sudah sangat awam                         | A. Juri; B. Chatbot                                               | A       |
| 283 | At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.                                               | Snippet: they were so advanced.                   | A. The judges; B. The chatbots                                    | B       | Pada kompetisi Loebner para juri tidak bisa menentukan responden mana yang menjadi chatbot karena mereka sudah sangat mahir.                                                                                  | mereka sudah sangat mahir                        | A. Juri; B. Chatbot                                               | B       |
| 284 | The user changed his password from "GrWQWu8JyC" toÂ "willow-towered Canopy Huntertropic wrestles" as it was easy to forget.                                                | Snippet: it was easy to forget.                   | A. GrWQWu8JyC; B. willow-towered Canopy Huntertropic wrestles<br> | A       | Pengguna mengubah kata sandinya dari "GrWQWu8JyC" menjadi "willow-towered Canopy Huntertropic wrestles" karena itu susah diingat.                                                                             | itu susah diingat                                | A. GrWQWu8JyC; B. willow-towered Canopy Huntertropic wrestles<br> | A       |
| 285 | The user changed his password from "GrWQWu8JyC" toÂ "willow-towered Canopy Huntertropic wrestles" as it was easy to remember.                                              | Snippet: it was easy to remember.                 | A. GrWQWu8JyC; B. willow-towered Canopy Huntertropic wrestles<br> | B       | Pengguna mengubah kata sandinya dari "GrWQWu8JyC" menjadi "willow-towered Canopy Huntertropic wrestles" karena itu mudah diingat.                                                                             | itu mudah diingat                                | A. GrWQWu8JyC; B. willow-towered Canopy Huntertropic wrestles<br> | B       |
